ID,MEMBER_ID,PROVIDER_NAME,PHYSPENTRIGHTTIME__C,HOWLIKELYCONTACTDR__C,LEVELTRUSTPHYSICIAN__C,sentiment_label,HOWLIKELYCONTACTDR_encoded,PHYSPENTRIGHTTIME__encoded,LEVELTRUSTPHYSICIAN_encoded,sentiment_label_encoded,MembertoProvider_Score
a2p1U000000RoK0QAK,0011U00000riNolQAE,Troy Curtis,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p3g000000LAe2AAG,0011U00000riuzfQAA,Care Team- Ohio,Strongly agree,Likely,Satisfied,Neutral,80,100,80,50,7.75
a2p3g000000LAenAAG,0011U00000rieIYQAY,Meaghann Bernardy,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000l8FEQAY,0011U00000rjZH9QAM,Kathleen Hathaway,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000Rv9VQAS,0011U00000rjesHQAQ,Karen Lewis,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoNbQAK,0011U00000ri84ZQAQ,Joseph Orzechowski,Strongly agree,Very Unlikely,Very Satisfied,Positive,0,100,100,100,7.5
a2p1U000000RvKnQAK,0011U00000rjGseQAE,Michael Smolak,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoDWQA0,0011U00000riaUNQAY,Jodi Ritter,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pHyRAAU,0011U00000riaUNQAY,Jodi Ritter,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Ro7KQAS,0011U00000rjF6eQAE,Steven Gray,Strongly disagree,Very Unlikely,Very Satisfied,Negative,0,0,100,0,2.5
a2p3g000000pnkRAAQ,0011U00000rijxIQAQ,Kristin Everett,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p1U000000l8DoQAI,0011U00000sgxU0QAI,Stephen Wills,Agree,Very Likely,Very Satisfied,Positive,100,80,100,100,9.5
a2p3g000000pg9nAAA,0011U00000t40KuQAI,David McCay,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000LAZtAAO,0011U00000rhz7AQAQ,David Smith,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoFZQA0,0011U00000rjUzzQAE,Katie O'Grady,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RvD9QAK,0011U00000rhvnGQAQ,Melissa Banzon,Agree,Likely,Satisfied,Neutral,80,80,80,50,7.25
a2p1U000000Rvi6QAC,0011U00000rjFL7QAM,John Reiskytl,Strongly agree,Likely,Very Satisfied,Positive,80,100,100,100,9.5
a2p3g000000L0RrAAK,0011U00000riHDHQA2,Sandra Sarmiento,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
a2p1U000000RoRHQA0,0011U00000ri4oyQAA,Kimberly Spencer,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RoLcQAK,0011U00000rjF6eQAE,Steven Gray,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000owOoAAI,0011U00000rk0h5QAA,Tammera Park,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoRvQAK,0011U00000riPVoQAM,Kelli Peiffer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000oRlfAAE,0011U00000rjpFpQAI,Care Team- Ohio,Strongly agree,Likely,Very Satisfied,Neutral,80,100,100,50,8.25
a2p1U000000RpKnQAK,0011U00000rjSbbQAE,Stephen Licetti,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RoGYQA0,0011U00000rjxhBQAQ,Katie O'Grady,Strongly agree,Somewhat Likely,Very Satisfied,Negative,60,100,100,0,6.5
a2p3g000000pniBAAQ,0011U00000rjcJ3QAI,Kimberly Spencer,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000RvYfQAK,0011U00000ri6NyQAI,Yuri Lee,Agree,Likely,Very Satisfied,Neutral,80,80,100,50,7.75
a2p1U000000RpLkQAK,0011U00000rjpXEQAY,Undetermined Physician,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Rot5QAC,0011U00000rk4ksQAA,Kelli Peiffer,No Response,Very Unlikely,Neutral,Negative,0,40,60,0,2.5
a2p1U000000RvcwQAC,0011U00000rk45RQAQ,Yuri Lee,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p1U000000Ro5gQAC,0011U00000ri0GGQAY,Melissa Banzon,Strongly agree,Likely,Very Satisfied,Negative,80,100,100,0,7.0
a2p1U000000RoKlQAK,0011U00000rjnPZQAY,Michael Gorman,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzJ8AAK,0011U00000rjAk1QAE,Kristin Everett,Strongly agree,Unlikely,Very Satisfied,Negative,20,100,100,0,5.5
a2p1U000000RoSBQA0,0011U00000rhqnDQAQ,Deryl Francis,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p1U000000RvfgQAC,0011U00000rhqqhQAA,Meaghann Bernardy,Strongly agree,Very Likely,Very Satisfied,Neutral,100,100,100,50,8.75
a2p3g000000Kyq1AAC,0011U00000rjfksQAA,David McCay,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pXz6AAE,0011U00000rj0e5QAA,Heather Thomas,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzB8AAK,0011U00000riMqxQAE,Cari Bollweg,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000pM4OAAU,0013g000003p3hcAAA,Jenny Chien,Strongly agree,Very Likely,Very Satisfied,Negative,100,100,100,0,7.5
a2p1U000000RvMkQAK,0011U00000rj7oaQAA,Sandra Sarmiento,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
a2p3g000000KzKkAAK,0011U00000rjZ0dQAE,Kristin Everett,Strongly agree,Very Likely,Very Satisfied,Positive,100,100,100,100,10.0
