TIMESTAMP,COMMENTS,TOPIC,CLIENT,CLINIC,LABEL
Jun-22," Wonderful, friendly staff. Was able to to schedule me in very promptly ",Good doctor,City Of Kalamazoo,City of Kalamazoo Clinic,Positive
Jun-22, Everything Everything went very well,Engagement with Patient's,Spangler Candy Company,Monroe Campus Park Clinic,Positive
Jun-22, all was good nothing,Professionalism,Michelin - Oklahoma,Michelin Family Health Center - Ardmore,Positive
Jun-22, Very thorough ,Services,Peoria Public Schools,Peoria Clinic (PPS),Positive
Jun-22, Great job ,Good doctor,Head Start,South Bend Community Schools Clinic,Positive
Jun-22,"After my virtual visit I was supposed to get a message from the provider and never did so I didn't know how to get my prescription and I didn't get it the same day like I was supposed to.  I wasn't shown how to use the app, I had to call 2x.  It was frustrating not knowing to submit pictures of my ID in order to get the script I guess, I still don't know if that is what finally allowed my script to go through & the only reason I know it did was bc the pharmacy called. Provider was great The follow up of a message never happened so I didn't know what was going on and therefore led to me not getting my prescription when I needed it",Lab result and services,nan,Virtual Health Center - Central,Negative
Jun-22,"  The provider spent too much time explaining the process of how she writes a request for an MRI, which was very unnecessary & took up time that wasn’t needed. Provider should be more straight to the point and more of an in & out process without unnecessary conversation. Provider also ordered the wrong type of X-ray for my injury.",Blood work and vaccine,Plumbers Local 210,Local 210 Clinic,Negative
Jun-22, Created a safe and welcoming environment where I felt comfortable communicating my health concerns. ,Engagement with Patient's,Akron Public Schools,Akron S. Main Health Center,Positive
Jun-22, Everything was great from start to finish! Everything was great!,Concerns addressed,South Bend Community Schools,South Bend Community Schools Clinic,Positive
Jun-22, Staff explains things in ways that are easy to comprehend. ,Good doctor,Monroe County Government,Monroe County Clinic,Positive
Jun-22,The people in the clinic are very nice.  ,Good doctor,nan,NW-EH Health & Wellness Center,Positive
Jun-22," Staff was super friendly. Lisa, my provider was outstanding. Understanding, caring, and knowledgeable. Great experience. ",Engagement with Patient's,North Vernon Industry Corp.,NVIC Clinic,Positive
Jun-22," Time spent was great and all questions were answered with my satisfaction. Also, great staff... All good for me at this time...",Engagement with Patient's,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Positive
Jun-22, All the above. ,Doctor is hospitable,nan,Aisin London Health and Wellness Center,Neutral
Jun-22, Everything was wonderful. I felt very at ease with Tami and Dr Smith was fantastic and addressed all of my concerns everything was great,Services,Everside Health - Missouri,SSM Health DirectCare Florissant Clinic,Positive
Jun-22, everything ,Professionalism,Akron Public Schools,Akron S. Main Health Center,Positive
Jun-22, Actually got into appt early.  Dr answered all questions and concerns. nothing,Doctor listen the concerns,Colorado Higher Education Insurance Benefits Alliance Trust - CHEIBA,Lakewood Belmar Medical Building Clinic,Neutral
Jun-22, The staff and doctor were very professional and friendly.  The wait time was minimal. ,Engagement with Patient's,California's Valued Trust (CVT),Altais Salinas North Main Street,Positive
Jun-22," I've used the clinic several times, they're  very
 professional and it's  close and convenient! Prompted and efficent.",Doctor listen the concerns,City Of Kalamazoo,City of Kalamazoo Clinic,Neutral
Jun-22," Having blood drawn for biometric, and my veins are small. Tiara took the time and was able to draw the blood without any discomfort ",Lab result and services,nan,TRIAD Health Centre,Negative
Jun-22, Everyone was really respectful and polite. Nothing,Good doctor,Aisin - Illinois,Aisin Marion Illinois Health and Wellness Center,Positive
Jun-22," Plenty of time spent with the Doctor Everything was great, no complaints.",Concerns addressed,South Bend Community Schools,Unknown,Positive
Jun-22,I’ve already taken the survey once I will not take it again I don’t know what the fuck a portal is and just because I gave you unsatisfactory answers you should’ve excepted my answers goodbye And I’ll see what I am answering this again they reduce my medication for my diabetes without no blood test they cancel my blood test and maybe see the doctor first last time people did this I ended up in the hospital I told you on the one above,Unskilled,IBEW Local 357,Union Family Health Center - Northwest,Negative
Jun-22, Wellness checkup/go over labs N/a,Good doctor,SEBT,Marion IN Clinic,Positive
Jun-22," The staff was nice,in and out!I have shit to get done. Nothing, it was great.",Concerns addressed,Midwest Operating Engineers Local 150,Davenport Clinic,Positive
Jun-22, It’s a great atmosphere with the ladies that work there and Dr. Rachel is a sweetheart ,Concerns addressed,"Plumbers, Pipefitters And MES Local 392",Local 212 Clinic,Positive
Jun-22, Excellent staff and service. No complaints,Good doctor,State of New Jersey - (Horizon BCBS),West Orange Health Center,Positive
Jun-22, The fact that the doctor took her time to explain everything and not rush the process was everything for me I love love my new doctor ,Good doctor,State of New Jersey - (Horizon BCBS),New Brunswick Health Center,Positive
Jun-22," The entire staff is friendly and caring.   I had time with Kristin, Wendi and Dr Thomas and all went above amd beyond to care for me. Nothing",Concerns addressed,Elkhart County Government,Elkhart County Clinic,Positive
Jun-22, We love our everside staff! ,Engagement with Patient's,Heat and Frost Insulators LLC - Missouri,SSM Health DirectCare Florissant Clinic,Positive
Jun-22, Wellness check /went over bloodwork N/a,Good doctor,SEBT,Marion IN Clinic,Positive
