zip,Estimate__population,__Ethnic_White,__Black_or_African_American_alone,__American_Indian_and_Alaska_Native,__Asian,__Hawaian_PI,__Other_Race__Ethn,__Two_or_more_races,__Hispanic_or_Latino_(of_any_race),__In_married_couple_families,_in_HH_w_Male_ref_person,_in_HH_w_Female_ref_person,__With_a_disability,__Less_than_high_schoo,__High_school_graduate,__Some_college,__Edu_Bachelor's_deg+,__Employed,__Unemployed,__Not_in_labor_force,"__Worked_full-time,_year_round","__Worked_less_than_full-time,_year_round",__population_19_to_64_years!!Did_not_work,"__household_population!!Below_$25,000","__household_population!!$25,000_to_$49,999","__household_population!!$50,000_to_$74,999","__household_population!!$75,000_to_$99,999","__household_population!!$100,000_and_over",__Below_138_percent_of_the_poverty_threshold,__138_to_399_percent_of_the_poverty_threshold,__At_or_above_400_percent_of_the_poverty_threshold,__Below_100_percent_of_the_poverty_threshold,Percent_Insured,Percent_Insured_AGE_55_to_64_years,Estimate!!Percent_Insured_19_to_64_years,Percent_Insured_Worked_full-time,Insured__19_to_64_years!!Worked_less_than_full-time,Percent_Uninsured_19_to_25_years,Percent_Uninsured_AGE_26_to_34_years,Percent_Uninsured_AGE!!45_to_54_years,Percent_UninsuredAGE!!55_to_64_years,Percent_UninsuredAGE!!19_to_64_years,Percent_Uninsured_19_to_64_years_Worked_less_than_full-time,PCP_Avail
1077,9694,95.68,0.07,0.39,1.69,0,0.64,1.53,3.5,80.08,7.27,12.65,16.21,7.59,24.75,31.61,36.06,79.03,2.5,18.47,59.41,24.04,16.56,8.49,18.01,11.14,13.1,49.26,11.56,32.07,56.37,7.68,97.9,97.3,96.7,97,96,1.9,3.5,1.3,2.7,3.3,4,0.75
1106,15799,90.08,0.92,0.05,5.91,0,0.57,2.47,6.97,87.36,3.59,9.05,8.11,3.74,12.26,17.26,66.74,77.68,1.99,20.33,57.22,26.42,16.36,3.08,5.74,7.24,12.92,71.02,3.29,25.53,71.18,2.2,98.8,96.4,98.5,99,98.3,2.3,0,0.5,3.6,1.5,1.7,0.25
1420,40253,80.26,4.96,0.38,2.37,0,7.14,4.89,28.96,62.24,10.88,26.88,15.67,15.2,34.63,29.53,20.65,72.25,6.08,21.67,48.86,29.87,21.27,15.53,19.97,20.07,16.51,27.94,24.16,43.38,32.46,15.67,96.4,96.8,94.6,95.5,91.5,6.3,5.7,6.8,3.2,5.4,8.5,0.25
1440,19475,88.23,1.88,0.06,3.26,0,2.47,4.11,8.68,65.62,9.37,25.01,14,9.56,34.89,36.23,19.33,74.38,2.78,22.84,50.35,28.87,20.77,17.05,22.82,16.91,16.94,26.29,20.21,48.66,31.13,13.92,97.8,97.8,96.6,97.3,94.2,4.5,5.9,2.7,2.2,3.4,5.8,0.25
1453,41434,80.93,6.73,0.19,3.04,0,5.5,3.62,18.5,69.16,7.74,23.1,12.77,12.05,29.01,29.64,29.3,77.74,4.33,17.92,56.2,27.54,16.26,14.59,18.03,16.88,14.64,35.86,17.38,40.95,41.67,12.55,96.3,97.4,95.4,96.5,93.1,4,7.4,2.5,2.6,4.6,6.9,0.75
1462,11389,93.87,1.65,0,1.42,0,0.48,2.57,5.89,84.22,2.78,13,8.59,6.15,27.31,29.56,36.97,83.33,2.74,13.93,64.79,21.74,13.47,7.92,8.51,8.58,14.14,60.85,8.95,24.65,66.41,5.76,98.9,99.2,98.4,98.7,96.4,5.8,0,1.6,0.8,1.6,3.6,0.75
1510,13935,89.18,3.21,0.84,1.8,0,3.7,1.27,17.27,72.81,6.16,21.03,14.58,10.91,29.25,30.62,29.23,80.13,3.39,16.48,59.24,25.79,14.97,8.07,19.02,18.65,18.8,35.47,15.24,42.29,42.47,8.12,96.1,94.4,95.5,95.4,97.1,0,4.9,1,5.6,4.5,2.9,0.25
1606,19311,75.05,11.94,0.07,6.11,0,2,4.83,10.1,65.32,10.06,24.63,13.29,6.57,27.92,27.03,38.49,80.82,2.75,16.43,59.02,25.64,15.33,12.79,17.59,14.87,14.84,39.91,16.45,39.38,44.18,10.71,97.6,99,96.9,96.8,97.2,3.7,8.4,1.5,1,3.1,2.8,0.75
1801,40137,79.56,6,0,8.85,0,2.95,2.64,4.55,73.01,10.52,16.47,11,5.73,24.99,24.05,45.23,83.19,2.54,14.27,63.58,23.94,12.48,7.48,10.11,13.73,14.14,54.54,10.95,29.11,59.94,6.27,98.3,99.3,97.6,98.3,95.9,4.2,2.8,2.8,0.7,2.4,4.1,0.25
1821,32797,85.46,3.33,0,7.89,0.23,1.01,2.07,3.56,79.23,7.22,13.56,10.32,6.41,31.61,24.99,36.98,83.84,3.36,12.8,62,26.01,11.99,4.26,9.09,10.26,12.77,63.63,5.57,28.08,66.36,3.52,97.9,96.7,97,96.8,98.8,5.8,1.4,3.5,3.3,3,1.2,0.25
1830,25806,79.45,4.75,0.12,1.4,0,9.6,4.68,24.6,59,11.8,29.2,13.9,10.52,30.54,31.97,26.97,79.5,5.28,15.22,57.16,26.52,16.32,12.81,15.01,15.85,16.22,40.11,19.46,34.92,45.62,12.23,96.9,97.2,95.4,95.7,93.6,4.4,6.3,5.7,2.8,4.6,6.4,0.25
