zip,Y,X,STATE_ZIP,REGION_ZIP,
501,40.813078,-73.046388,NY,Northeast,
544,40.813223,-73.049288,NY,Northeast,
601,18.16595,-66.723627,PR,Other,
602,18.383005,-67.186553,PR,Other,
603,18.433236,-67.151954,PR,Other,
604,18.505289,-67.135899,PR,Other,
605,18.436149,-67.151346,PR,Other,
606,18.185616,-66.977377,PR,Other,
610,18.285948,-67.144161,PR,Other,
611,18.287716,-66.797578,PR,Other,
612,18.471326,-66.728149,PR,Other,
613,18.472737,-66.719283,PR,Other,
614,18.456904,-66.735892,PR,Other,
616,18.426456,-66.673779,PR,Other,
617,18.458792,-66.537234,PR,Other,
622,18.017976,-67.170627,PR,Other,
623,18.086721,-67.15178,PR,Other,
624,18.063481,-66.723612,PR,Other,
627,18.485866,-66.844057,PR,Other,
631,18.180272,-66.832917,PR,Other,
636,18.162126,-67.077928,PR,Other,
637,18.081674,-66.968022,PR,Other,
638,18.338774,-66.466418,PR,Other,
641,18.268891,-66.704425,PR,Other,
646,18.466563,-66.270521,PR,Other,
647,17.967309,-66.939935,PR,Other,
650,18.362641,-66.565388,PR,Other,
652,18.466248,-66.569371,PR,Other,
653,17.974015,-66.908699,PR,Other,
656,18.02597,-66.787588,PR,Other,
659,18.485446,-66.82488,PR,Other,
660,18.140855,-67.128154,PR,Other,
662,18.501226,-67.02279,PR,Other,
664,18.21983,-66.591354,PR,Other,
667,18.045169,-67.057853,PR,Other,
669,18.294354,-66.884391,PR,Other,
670,18.296381,-67.146608,PR,Other,
674,18.430555,-66.484708,PR,Other,
676,18.399405,-67.113279,PR,Other,
677,18.343319,-67.255905,PR,Other,
678,18.474927,-66.937286,PR,Other,
680,18.203793,-67.145253,PR,Other,
681,18.204311,-67.144689,PR,Other,
682,18.20383,-67.143514,PR,Other,
683,18.084045,-67.046282,PR,Other,
685,18.341548,-66.99628,PR,Other,
687,18.329095,-66.40424,PR,Other,
688,18.430209,-66.612619,PR,Other,
690,18.495377,-67.097688,PR,Other,
692,18.413692,-66.31897,PR,Other,
693,18.44194,-66.398866,PR,Other,
694,18.444623,-66.402557,PR,Other,
698,18.035256,-66.863322,PR,Other,
703,18.261636,-66.103857,PR,Other,
704,18.251151,-66.101442,PR,Other,
705,18.142125,-66.267614,PR,Other,
707,18.010343,-65.896868,PR,Other,
714,17.970131,-66.064155,PR,Other,
715,18.014885,-66.586461,PR,Other,
716,18.01462,-66.614749,PR,Other,
717,18.013291,-66.61449,PR,Other,
718,18.214923,-65.732399,PR,Other,
719,18.301571,-66.244271,PR,Other,
720,18.229109,-66.39152,PR,Other,
721,18.371798,-65.774509,PR,Other,
723,18.010671,-66.015222,PR,Other,
725,18.236227,-66.04134,PR,Other,
726,18.23305,-66.036044,PR,Other,
727,18.233993,-66.036446,PR,Other,
728,18.01307,-66.614009,PR,Other,
729,18.379881,-65.908969,PR,Other,
730,18.01369,-66.613419,PR,Other,
731,18.014073,-66.617175,PR,Other,
732,18.036114,-66.611434,PR,Other,
733,18.020753,-66.620129,PR,Other,
734,17.986721,-66.608975,PR,Other,
735,18.26055,-65.640326,PR,Other,
736,18.118281,-66.161033,PR,Other,
737,18.115422,-66.161026,PR,Other,
738,18.332258,-65.659254,PR,Other,
739,18.177401,-66.156056,PR,Other,
740,18.333277,-65.632997,PR,Other,
741,18.168687,-65.747221,PR,Other,
742,18.238935,-65.627433,PR,Other,
744,18.217733,-65.795607,PR,Other,
745,18.383385,-65.838061,PR,Other,
751,17.988778,-66.287538,PR,Other,
754,18.188518,-65.958889,PR,Other,
757,17.968229,-66.402656,PR,Other,
765,18.130886,-65.453441,PR,Other,
766,18.129578,-66.490474,PR,Other,
767,18.051521,-65.88088,PR,Other,
769,18.082113,-66.359958,PR,Other,
771,18.182105,-65.869167,PR,Other,
772,18.433938,-65.880795,PR,Other,
773,18.375722,-65.720579,PR,Other,
775,18.311531,-65.305548,PR,Other,
777,18.229082,-65.918423,PR,Other,
778,18.257108,-65.975738,PR,Other,
780,18.046755,-66.55022,PR,Other,
782,18.221934,-66.22722,PR,Other,
783,18.342583,-66.311101,PR,Other,
784,17.979829,-66.111453,PR,Other,
785,17.9789,-66.110228,PR,Other,
786,18.158211,-66.235998,PR,Other,
791,18.154496,-65.820757,PR,Other,
792,18.1513,-65.821929,PR,Other,
